,idx,support,cnt,itemsets,sentence,api,len
0,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for this operation (optional).,tf.group.yaml,3
1,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.nn.conv1d.yaml,3
2,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.math.zero_fraction.yaml,3
3,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.linalg.band_part.yaml,3
4,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.compat.v1.nn.xw_plus_b.yaml,3
5,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.sparse.mask.yaml,3
6,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.compat.v1.image.extract_glimpse.yaml,3
7,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for this operation (optional).,tf.compat.v1.nn.fused_batch_norm.yaml,3
8,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.compat.v1.ragged.placeholder.yaml,3
9,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.compat.v1.depth_to_space.yaml,3
10,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.math.reciprocal.yaml,3
11,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.math.xlogy.yaml,3
12,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.math.unsorted_segment_max.yaml,3
13,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.nn.space_to_depth.yaml,3
14,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.image.encode_png.yaml,3
15,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.math.reduce_max.yaml,3
16,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.math.bessel_i0e.yaml,3
17,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.quantization.dequantize.yaml,3
18,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.split.yaml,3
19,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for this operation (optional).,tf.debugging.assert_rank_at_least.yaml,3
20,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.nn.local_response_normalization.yaml,3
21,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.tensor_scatter_nd_add.yaml,3
22,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.random.stateless_truncated_normal.yaml,3
23,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.bitcast.yaml,3
24,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",(optional) A name to use as a `name_scope` for the operation.,tf.tuple.yaml,3
25,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.compat.v1.scatter_nd_update.yaml,3
26,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.compat.v1.nn.conv1d.yaml,3
27,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.linalg.diag_part.yaml,3
28,943,0.06208863536638877,562,"frozenset({'operation', 'optional', 'name'})",A name for the operation (optional).,tf.concat.yaml,3
