API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
torch.nn.functional.avg_pool3d,ceil_mode,"when True, will use ceil instead of floor in the formula to compute the output shape",when CONSTANT_BOOL will use ceil instead of floor in the formula to compute the output shape,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.functional.avg_pool3d,ceil_mode,DF: False,DEFAULT CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
torch.where,x,values selected at indices where `condition` is `True`,values selected at indices where PARAM is CONSTANT_BOOL,,D_STRUCTURE,,,,,
torch.where,x,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.unique,return_inverse,Whether to also return the indices for where elements in the original input ended up in the returned unique list.,Whether to also return the indices for where elements in the original PARAM ended up in the returned unique D_STRUCTURE,D_TYPE,,,,CONSTANT_VAL,,
torch.unique,return_inverse,DD: bool,ONE_WORD D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.unique,return_inverse,DF: False,DEFAULT CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
torch.index_select,index,the 1-D tensor containing the indices to index,the CONSTANT_NUM D D_STRUCTURE containing the indices to index,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
torch.index_select,index,DD: LongTensor,ONE_WORD D_TYPE,D_TYPE,D_STRUCTURE,,,CONSTANT_VAL,,
torch.autograd.functional.hessian,inputs,inputs to the function `func`.,inputs to the function PARAM,,D_STRUCTURE,D_STRUCTURE,,,,
torch.autograd.functional.hessian,inputs,DD: tuple of Tensors or Tensor,D_STRUCTURE of D_STRUCTURE,,D_STRUCTURE,D_STRUCTURE,,,,
torch.hub.load,**kwargs,the corresponding kwargs for callable model.,the corresponding kwargs for callable PARAM,,,,,,,
torch.hub.load,**kwargs,DD: optional,ONE_WORD optional,,,,,,,
torch.std,unbiased,whether to use the unbiased estimation or not,whether to use the unbiased estimation or not,D_TYPE,,,,CONSTANT_VAL,,
torch.std,unbiased,DD: bool,ONE_WORD D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.std,unbiased,DF: True,DEFAULT CONSTANT_BOOL,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.LocalResponseNorm,beta,exponent. Default: 0.75,ONE_WORD exponent,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.LocalResponseNorm,beta,exponent. Default: 0.75,Default CONSTANT_FLOAT,D_TYPE,,,,CONSTANT_VAL,,
torch.nn.LocalResponseNorm,beta,DF: 0.75,DEFAULT CONSTANT_FLOAT,D_TYPE,,,,CONSTANT_VAL,,
torch.renorm,dim,the dimension to slice over to get the sub-tensors,the dimension to slice over to get the sub D_STRUCTURE,D_TYPE,,,,CONSTANT_VAL,,
torch.renorm,dim,DD: int,ONE_WORD D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
torch.distributed.barrier,group,The process group to work on,The process group to work on,,,,,,,
torch.distributed.barrier,group,"DD: ProcessGroup, optional",ProcessGroup optional,,,,,,,
torch.distributed.barrier,group,DF: <objectobject>,DEFAULT REXPR,,,,,,,
