API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
mxnet.contrib.ndarray.hawkesll,max_time,DD: NDArray,D_STRUCTURE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.op.Convolution,weight,DD: NDArray,D_STRUCTURE,D_TYPE,,D_STRUCTURE,,,,
mxnet.gluon.nn.LayerNorm,epsilon,"DD: float, default 1e-5",D_TYPE default CONSTANT_FLOAT,D_TYPE,,,,CONSTANT_VAL,,
mxnet.io.ImageDetRecordIter,num_parts,"DD: int, optional, default='1'",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.op.random_pdf_generalized_negative_binomial,is_log,"DD: boolean, optional, default=0",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.where,condition,DD: NDArray,D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.random.negative_binomial_like,p,"DD: float, optional, default=1",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.signsgd_update,rescale_grad,"DD: float, optional, default=1",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.Activation,act_type,"DD: {'relu', 'sigmoid', 'softrelu', 'softsign', 'tanh'}, required",QSTR required,,,,,,,QSTR
mxnet.ndarray.linalg_inverse,A,DD: NDArray,D_STRUCTURE,,D_STRUCTURE,D_STRUCTURE,BSTR,CONSTANT_VAL,,
mxnet.ndarray.op.reshape_like,lhs,DD: NDArray,D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.op.Convolution,cudnn_off,"DD: boolean, optional, default=0",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.rmsprop_update,rescale_grad,"DD: float, optional, default=1",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.sparse.elemwise_sub,lhs,DD: NDArray,D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.mp_lamb_update_phase2,r1,DD: NDArray,D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.contrib.ndarray.hawkesll,valid_length,DD: NDArray,D_STRUCTURE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.op.mp_lamb_update_phase2,r2,DD: NDArray,D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.op.broadcast_greater_equal,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.zeros,dtype,"DD: str or numpy.dtype, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.arccos,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.sgd_mom_update,lr,"DD: float, required",D_TYPE required,D_TYPE,,,,CONSTANT_VAL,"[0,1]",
mxnet.gluon.nn.Conv2DTranspose,use_bias,DD: bool,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
mxnet.image.CreateAugmenter,data_shape,DD: tuple of int,D_STRUCTURE of D_TYPE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,"[0,inf)",
mxnet.context.cpu,device_id,"DD: int, optional",D_TYPE optional,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.linalg_trsm,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.sparse.add_n,*args,DD: NDArray[],D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.op.softmin,use_length,"DD: boolean or None, optional, default=0",D_TYPE or None optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.SoftmaxOutput,data,DD: NDArray,D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.contrib.quantized_fully_connected,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.contrib.bipartite_matching,topk,"DD: int, optional, default='-1'",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.contrib.ndarray.MultiBoxDetection,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.op.broadcast_to,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.contrib.ndarray.fft,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.ndarray.UpSampling,sample_type,"DD: {'bilinear', 'nearest'}, required",QSTR required,,,,,,,QSTR
mxnet.ndarray.split,num_outputs,"DD: int, required",D_TYPE required,D_TYPE,,,,CONSTANT_VAL,"[0,inf)",
mxnet.ndarray.sign,data,DD: NDArray,D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.ndarray.utils.save,fname,DD: str,D_TYPE,D_TYPE,,,,,,
mxnet.ndarray.op.linalg_trmm,transpose,"DD: boolean, optional, default=0",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.sparse.subtract,rhs,DD: scalar or mxnet.ndarray.sparse.array,scalar or mxnet D_STRUCTURE sparse D_STRUCTURE,D_TYPE,,D_STRUCTURE,,CONSTANT_VAL,,
mxnet.test_utils.check_symbolic_forward,sym,DD: Symbol,Symbol,,,,,,,
mxnet.ndarray.linalg_trsm,B,DD: NDArray,D_STRUCTURE,,D_STRUCTURE,D_STRUCTURE,,,,
mxnet.gluon.contrib.rnn.Conv2DGRUCell,i2h_bias_initializer,"DD: str or Initializer, default zeros",D_TYPE or Initializer default zeros,D_TYPE,,,,,,
mxnet.ndarray.arctanh,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
mxnet.test_utils.verify_generator,success_rate,DD: float,D_TYPE,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.op.sgd_mom_update,lazy_update,"DD: boolean, optional, default=1",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.profiler.dumps,sort_by,DD: string,D_TYPE,D_TYPE,,,,,,
mxnet.gluon.nn.LeakyReLU,alpha,DD: float,D_TYPE,D_TYPE,,,,,,
mxnet.ndarray.Dropout,mode,"DD: {'always', 'training'},optional, default='training'",QSTR optional default QSTR,D_TYPE,,,,CONSTANT_VAL,,QSTR
mxnet.ndarray.op.ftrl_update,wd,"DD: float, optional, default=0",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
mxnet.ndarray.random.normal_like,loc,"DD: float, optional, default=0",D_TYPE optional default CONSTANT_NUM,D_TYPE,,,,CONSTANT_VAL,,
